Image Name,Cluster Label
04003008.bmp,0
04003009.bmp,1
04003010.bmp,2
04003011.bmp,0
04003012.bmp,0
04003013.bmp,0
04003014.bmp,0
04003015.bmp,2
05000000.bmp,1
05000001.bmp,2
05000002.bmp,2
05000003.bmp,2
05000004.bmp,2
05000005.bmp,1
05000006.bmp,0
05000007.bmp,0
05000008.bmp,3
05000009.bmp,3
05000010.bmp,3
05000011.bmp,3
05000012.bmp,3
05000013.bmp,3
05000014.bmp,1
05000015.bmp,3
05001000.bmp,2
05001001.bmp,3
05001002.bmp,3
05001003.bmp,2
05001004.bmp,1
05001005.bmp,1
05001006.bmp,0
05001007.bmp,0
05001008.bmp,0
05001009.bmp,0
05001010.bmp,0
05001011.bmp,0
05001012.bmp,2
05001013.bmp,2
05001014.bmp,2
05001015.bmp,0
05002000.bmp,0
05002001.bmp,0
05002002.bmp,0
05002003.bmp,0
05002004.bmp,0
05002005.bmp,0
05002006.bmp,1
05002007.bmp,1
05002008.bmp,1
05002009.bmp,0
05002010.bmp,0
05002011.bmp,0
05002012.bmp,0
05002013.bmp,0
05002014.bmp,0
05002015.bmp,1
05003000.bmp,0
05003001.bmp,0
05003002.bmp,1
05003003.bmp,0
05003004.bmp,0
05003005.bmp,1
05003006.bmp,1
05003007.bmp,0
05003008.bmp,0
05003009.bmp,0
05003010.bmp,0
05003011.bmp,0
05003012.bmp,0
05003013.bmp,0
05003014.bmp,2
05003015.bmp,0
05004000.bmp,3
05004001.bmp,3
05004002.bmp,0
05004003.bmp,0
05004004.bmp,0
05004005.bmp,0
05004006.bmp,3
05004007.bmp,1
05004008.bmp,1
05004009.bmp,1
05004010.bmp,1
05004011.bmp,1
05004012.bmp,1
05004013.bmp,1
05004014.bmp,1
05004015.bmp,1
05005000.bmp,1
05005001.bmp,1
05005002.bmp,1
05005003.bmp,1
05005004.bmp,1
05005005.bmp,1
05005006.bmp,1
05005007.bmp,1
05005008.bmp,1
05005009.bmp,1
05005010.bmp,1
05005011.bmp,1
05005012.bmp,1
05005013.bmp,0
05005014.bmp,1
05005015.bmp,0
05006000.bmp,1
05006001.bmp,1
05006002.bmp,1
05006003.bmp,1
05006004.bmp,1
05006005.bmp,3
05006006.bmp,3
05006007.bmp,3
05006008.bmp,0
05006009.bmp,1
05006010.bmp,3
05006011.bmp,1
05006012.bmp,0
05006013.bmp,0
05006014.bmp,1
05006015.bmp,1
05007000.bmp,1
05007001.bmp,1
05007002.bmp,0
05007003.bmp,1
05007004.bmp,0
05007005.bmp,0
05007006.bmp,1
05007007.bmp,1
05007008.bmp,0
05007009.bmp,1
05007010.bmp,1
05007011.bmp,1
05007012.bmp,1
05007013.bmp,1
05007014.bmp,0
05007015.bmp,0
06000000.bmp,0
06000001.bmp,0
06000002.bmp,3
06000003.bmp,0
06000004.bmp,0
06000005.bmp,0
06000006.bmp,2
06000007.bmp,1
06000008.bmp,0
06000009.bmp,3
06000010.bmp,3
06000011.bmp,3
06000012.bmp,3
06000013.bmp,3
06000014.bmp,3
06000015.bmp,3
06001000.bmp,3
06001001.bmp,2
06001002.bmp,3
06001003.bmp,1
06001004.bmp,3
06001005.bmp,3
06001006.bmp,3
06001007.bmp,3
06001008.bmp,0
06001009.bmp,0
06001010.bmp,0
06001011.bmp,0
06001012.bmp,0
06001013.bmp,0
06001014.bmp,0
06001015.bmp,0
06002000.bmp,0
06002001.bmp,0
06002002.bmp,0
06002003.bmp,0
06002004.bmp,0
06002005.bmp,0
06002006.bmp,0
06002007.bmp,0
06002008.bmp,0
06002009.bmp,0
06002010.bmp,0
06002011.bmp,0
06002012.bmp,0
06002013.bmp,0
06002014.bmp,0
06002015.bmp,0
06003000.bmp,0
06003001.bmp,0
06003002.bmp,0
06003003.bmp,0
06003004.bmp,0
06003005.bmp,0
06003006.bmp,0
06003007.bmp,0
06003008.bmp,0
06003009.bmp,0
06003010.bmp,0
06003011.bmp,1
06003012.bmp,2
06003013.bmp,2
06003014.bmp,0
06003015.bmp,0
06004000.bmp,0
06004001.bmp,0
06004002.bmp,2
06004003.bmp,2
06004004.bmp,2
06004005.bmp,0
06004006.bmp,2
06004007.bmp,1
06004008.bmp,2
06004009.bmp,0
06004010.bmp,0
06004011.bmp,0
06004012.bmp,0
06004013.bmp,1
06004014.bmp,2
06004015.bmp,2
06005000.bmp,2
06005001.bmp,2
06005002.bmp,0
06005003.bmp,0
06005004.bmp,0
06005005.bmp,0
06005006.bmp,0
06005007.bmp,1
06005008.bmp,2
06005009.bmp,1
06005010.bmp,1
06005011.bmp,1
06005012.bmp,1
06005013.bmp,1
06005014.bmp,0
06005015.bmp,2
06006000.bmp,1
06006001.bmp,2
06006002.bmp,1
06006003.bmp,1
06006004.bmp,2
06006005.bmp,2
06006006.bmp,2
06006007.bmp,2
06006008.bmp,0
06006009.bmp,2
06006010.bmp,0
06006011.bmp,0
06006012.bmp,0
06006013.bmp,0
06006014.bmp,0
06006015.bmp,0
06007000.bmp,2
06007001.bmp,0
06007002.bmp,2
06007003.bmp,0
06007004.bmp,1
06007005.bmp,2
06007006.bmp,2
06007007.bmp,2
06007008.bmp,1
06007009.bmp,2
06007010.bmp,2
06007011.bmp,3
06007012.bmp,1
06007013.bmp,2
06007014.bmp,2
06007015.bmp,2
07000000.bmp,2
07000001.bmp,2
07000002.bmp,2
07000003.bmp,3
07000004.bmp,2
07000005.bmp,2
07000006.bmp,0
07000007.bmp,0
07000008.bmp,0
07000009.bmp,0
07000010.bmp,0
07000011.bmp,0
07000012.bmp,2
07000013.bmp,2
07000014.bmp,2
07000015.bmp,0
07001000.bmp,0
07001001.bmp,0
07001002.bmp,0
07001003.bmp,0
07001004.bmp,0
07001005.bmp,0
07001006.bmp,0
07001007.bmp,0
07001008.bmp,0
07001009.bmp,0
07001010.bmp,0
07001011.bmp,0
07001012.bmp,0
07001013.bmp,0
07001014.bmp,0
07001015.bmp,0
07002000.bmp,0
07002001.bmp,0
07002002.bmp,0
07002003.bmp,0
07002004.bmp,0
07002005.bmp,0
07002006.bmp,0
07002007.bmp,0
07002008.bmp,0
07002009.bmp,0
07002010.bmp,0
07002011.bmp,0
07002012.bmp,3
07002013.bmp,0
07002014.bmp,0
07002015.bmp,0
07003000.bmp,2
07003001.bmp,2
07003002.bmp,1
07003003.bmp,2
07003004.bmp,2
07003005.bmp,0
07003006.bmp,2
07003007.bmp,0
07003008.bmp,0
07003009.bmp,0
07003010.bmp,0
07003011.bmp,0
07003012.bmp,0
07003013.bmp,0
07003014.bmp,0
07003015.bmp,0
08000000.bmp,0
08000001.bmp,0
08000002.bmp,0
08000003.bmp,0
08000004.bmp,0
08000005.bmp,0
08000006.bmp,0
08000007.bmp,0
08000008.bmp,0
08000009.bmp,0
08000010.bmp,2
08000011.bmp,0
08000012.bmp,0
08000013.bmp,0
08000014.bmp,0
08000015.bmp,0
08001000.bmp,3
08001001.bmp,0
08001002.bmp,2
08001003.bmp,0
08001004.bmp,0
08001005.bmp,0
08001006.bmp,0
08001007.bmp,0
08001008.bmp,0
08001009.bmp,0
08001010.bmp,0
08001011.bmp,1
08001012.bmp,0
08001013.bmp,0
08001014.bmp,0
08001015.bmp,0
08002000.bmp,0
08002001.bmp,0
08002002.bmp,2
08002003.bmp,0
08002004.bmp,1
08002005.bmp,1
08002006.bmp,0
08002007.bmp,1
08002008.bmp,1
08002009.bmp,0
08002010.bmp,1
08002011.bmp,0
08002012.bmp,0
08002013.bmp,1
08002014.bmp,1
08002015.bmp,0
08003000.bmp,0
08003001.bmp,1
08003002.bmp,0
08003003.bmp,0
08003004.bmp,0
08003005.bmp,0
08003006.bmp,0
08003007.bmp,0
08003008.bmp,0
08003009.bmp,0
08003010.bmp,0
08003011.bmp,0
08003012.bmp,0
08003013.bmp,0
08003014.bmp,0
08003015.bmp,0
08004000.bmp,0
08004001.bmp,0
08004002.bmp,0
08004003.bmp,0
08004004.bmp,0
08004005.bmp,0
08004006.bmp,0
08004007.bmp,0
08004008.bmp,0
08004009.bmp,0
08004010.bmp,1
08004011.bmp,0
08004012.bmp,0
08004013.bmp,0
08004014.bmp,0
08004015.bmp,0
08005000.bmp,0
08005001.bmp,1
08005002.bmp,0
08005003.bmp,0
08005004.bmp,2
08005005.bmp,0
08005006.bmp,2
08005007.bmp,2
08005008.bmp,2
08005009.bmp,2
08005010.bmp,2
08005011.bmp,0
08005012.bmp,2
08005013.bmp,0
08005014.bmp,2
08005015.bmp,0
08006000.bmp,0
08006001.bmp,2
08006002.bmp,2
08006003.bmp,0
08006004.bmp,2
08006005.bmp,0
08006006.bmp,2
08006007.bmp,0
08006008.bmp,2
08006009.bmp,0
08006010.bmp,2
08006011.bmp,2
08006012.bmp,1
08006013.bmp,1
08006014.bmp,1
08006015.bmp,1
08007000.bmp,1
08007001.bmp,1
08007002.bmp,0
08007003.bmp,0
08007004.bmp,0
08007005.bmp,0
08007006.bmp,1
08007007.bmp,1
08007008.bmp,1
08007009.bmp,0
08007010.bmp,0
08007011.bmp,0
08007012.bmp,0
08007013.bmp,0
08007014.bmp,0
08007015.bmp,1
09000000.bmp,1
09000001.bmp,1
09000002.bmp,1
09000003.bmp,0
09000004.bmp,0
09000005.bmp,1
09000006.bmp,1
09000007.bmp,1
09000008.bmp,1
09000009.bmp,0
09000010.bmp,0
09000011.bmp,0
09000012.bmp,2
09000013.bmp,0
09000014.bmp,0
09000015.bmp,0
09001000.bmp,1
09001001.bmp,1
09001002.bmp,0
09001003.bmp,0
09001004.bmp,2
09001005.bmp,1
09001006.bmp,3
09001007.bmp,0
09001008.bmp,1
09001009.bmp,1
09001010.bmp,0
09001011.bmp,0
09001012.bmp,1
09001013.bmp,1
09001014.bmp,1
09001015.bmp,1
09002000.bmp,1
09002001.bmp,1
09002002.bmp,1
09002003.bmp,1
09002004.bmp,1
09002005.bmp,1
09002006.bmp,1
09002007.bmp,1
09002008.bmp,1
09002009.bmp,1
09002010.bmp,0
09002011.bmp,0
09002012.bmp,0
09002013.bmp,2
09002014.bmp,1
09002015.bmp,0
